"","Names","ID","pl","pb","p","pFdr","pFWER"
"1","Oxytocin signaling pathway","04921",1.38322888480127e-06,5e-06,1.84641432707403e-10,1.63229832245439e-08,3.58204379452362e-08
"2","MAPK signaling pathway","04010",1.86693824354594e-06,5e-06,2.4641048968823e-10,1.63229832245439e-08,4.78036349995167e-08
"3","Calcium signaling pathway","04020",1.91426417810622e-06,5e-06,2.52417266358927e-10,1.63229832245439e-08,4.89689496736318e-08
"4","Renal cell carcinoma","05211",7.26469725608166e-10,0.0225,4.22321512375557e-10,2.04825933502145e-08,8.19303734008581e-08
"5","mTOR signaling pathway","04150",5.33604904144947e-05,5e-06,6.14833247149731e-09,2.38555299894096e-07,1.19277649947048e-06
"6","Axon guidance","04360",1.92537274188017e-08,0.024,1.03948237088432e-08,3.36099299919265e-07,2.01659579951559e-06
"7","Focal adhesion","04510",0.000143082660677104,5e-06,1.57807016083785e-08,4.37350873146489e-07,3.06145611202542e-06
"8","Pathways in cancer","05200",3.65428692328582e-07,0.006,4.59084934070782e-08,1.11328096512165e-06,8.90624772097317e-06
"9","Neurotrophin signaling pathway","04722",4.64335402270497e-08,0.055,5.30833629105118e-08,1.14424137829326e-06,1.02981724046393e-05
"10","Wnt signaling pathway","04310",0.000620420678339323,5e-06,6.38759861989643e-08,1.23919413225991e-06,1.23919413225991e-05
"11","Cholinergic synapse","04725",1.01303732188022e-06,0.008,1.59094441717934e-07,2.80584742666175e-06,3.08643216932793e-05
"12","ErbB signaling pathway","04012",4.35089242091784e-06,0.0025,2.10328602081417e-07,3.35465505899374e-06,4.0803748803795e-05
"13","Proteoglycans in cancer","05205",9.7231478220622e-07,0.012,2.24796473025354e-07,3.35465505899374e-06,4.36105157669186e-05
"14","Gap junction","04540",1.32976580016489e-05,0.001,2.54459700441329e-07,3.52608442040127e-06,4.93651818856178e-05
"15","Glioma","05214",1.41827075582754e-07,0.1125,3.02412792677571e-07,3.91120545196325e-06,5.86680817794487e-05
"16","Non-small cell lung cancer","05223",9.69876841540907e-07,0.0185,3.37970561990398e-07,4.09789306413357e-06,6.55662890261372e-05
