"","Names","ID","pl","pb","p","pFdr","pFWER"
"1","Cell cycle","04110",2.3225686043654e-08,5e-06,3.57490684653668e-12,6.93531928228116e-10,6.93531928228116e-10
"2","HTLV-I infection","05166",1.92851452100917e-07,5e-06,2.76427662049947e-11,2.68134832188449e-09,5.36269664376898e-09
"3","Endocytosis","04144",6.89133985917225e-07,5e-06,9.43903470149764e-11,4.30669818387806e-09,1.83117273209054e-08
"4","Pathways in cancer","05200",8.12972492672415e-07,5e-06,1.10680681574153e-10,4.30669818387806e-09,2.14720522253857e-08
"5","Protein processing in endoplasmic reticulum","04141",8.15387503147289e-07,5e-06,1.10997375873146e-10,4.30669818387806e-09,2.15334909193903e-08
"6","Colorectal cancer","05210",5.23029072240011e-06,5e-06,6.63386966222801e-10,2.14495119078706e-08,1.28697071447223e-07
"7","Homologous recombination","03440",8.27290403912052e-06,5e-06,1.03033218857846e-09,2.85549206548887e-08,1.99884444584221e-07
"8","AGE-RAGE signaling pathway in diabetic complications","04933",1.49033204118669e-05,5e-06,1.81224370015492e-09,4.39469097287569e-08,3.51575277830055e-07
"9","Thyroid hormone signaling pathway","04919",1.81572333503234e-05,5e-06,2.18999059576498e-09,4.72064639531563e-08,4.24858175578406e-07
"10","Epstein-Barr virus infection","05169",2.06192722257726e-05,5e-06,2.47383399276104e-09,4.79923794595642e-08,4.79923794595642e-07
"11","Apoptosis","04210",2.9843594374913e-05,5e-06,3.52536605324206e-09,6.21746376662691e-08,6.8392101432896e-07
"12","Fc gamma R-mediated phagocytosis","04666",5.22669066779151e-05,5e-06,6.02773845192386e-09,9.14734978691861e-08,1.16938125967323e-06
"13","p53 signaling pathway","04115",5.31911626175491e-05,5e-06,6.12966738298669e-09,9.14734978691861e-08,1.18915547229942e-06
"14","Pancreatic cancer","05212",7.81476426289665e-05,5e-06,8.85529360377547e-09,1.2270906850946e-07,1.71792695913244e-06
"15","B cell receptor signaling pathway","04662",9.07428655189476e-05,5e-06,1.02147217201046e-08,1.24857777562781e-07,1.9816560137003e-06
"16","Chemokine signaling pathway","04062",9.15130148144748e-05,5e-06,1.02975486649717e-08,1.24857777562781e-07,1.9977244410045e-06
"17","RNA transport","03013",0.000122501603608103,5e-06,1.36059217967015e-08,1.55267578150594e-07,2.6395488285601e-06
"18","Prostate cancer","05215",0.00015807744477825,5e-06,1.73557163807406e-08,1.8705605432576e-07,3.36700897786367e-06
"19","T cell receptor signaling pathway","04660",0.000214834134888447,5e-06,2.3257639386913e-08,2.37472739003217e-07,4.51198204106112e-06
"20","MAPK signaling pathway","04010",0.000370306099398515,5e-06,3.9080723089391e-08,3.79083013967092e-07,7.58166027934185e-06
"21","Renal cell carcinoma","05211",0.000532748136545498,5e-06,5.52553965656145e-08,5.00320124228038e-07,1.07195469337292e-05
"22","Rap1 signaling pathway","04015",0.000547770637353894,5e-06,5.67373336753446e-08,5.00320124228038e-07,1.10070427330168e-05
"23","Axon guidance","04360",0.000663096002783,5e-06,6.80491113719966e-08,5.73979461137711e-07,1.32015276061673e-05
"24","Cell adhesion molecules (CAMs)","04514",0.000948719666904985,5e-06,9.56616327791792e-08,7.73264864965032e-07,1.85583567591608e-05
"25","Proteoglycans in cancer","05205",0.001073292816438,5e-06,1.07560558015847e-07,8.34669930202971e-07,2.08667482550743e-05
"26","RNA degradation","03018",1.40789612633912e-05,5e-04,1.39182720550935e-07,1.02490882625896e-06,2.70014477868814e-05
"27","TNF signaling pathway","04668",0.00144477737023974,5e-06,1.42641950046351e-07,1.02490882625896e-06,2.7672538308992e-05
"28","Platelet activation","04611",0.00175530473193721,5e-06,1.71591441643801e-07,1.18888355996062e-06,3.32887396788974e-05
"29","Insulin signaling pathway","04910",0.00200278965767284,5e-06,1.94463734683188e-07,1.2637248266464e-06,3.77259645285384e-05
"30","Neurotrophin signaling pathway","04722",0.00208035913429477,5e-06,2.01600191228724e-07,1.2637248266464e-06,3.91104370983724e-05
"31","Hepatitis B","05161",0.00208400670464133,5e-06,2.01935410443497e-07,1.2637248266464e-06,3.91754696260383e-05
"32","Regulation of actin cytoskeleton","04810",0.00283289138504418,5e-06,2.7015203025755e-07,1.63779668343639e-06,5.24094938699646e-05
"33","Fanconi anemia pathway","03460",0.00325980733124912,5e-06,3.08575967079171e-07,1.7606981650988e-06,5.98637376133591e-05
"34","Acute myeloid leukemia","05221",0.00325980733124912,5e-06,3.08575967079171e-07,1.7606981650988e-06,5.98637376133591e-05
"35","Gap junction","04540",0.00338761256014749,5e-06,3.20022719665885e-07,1.77384021757662e-06,6.20844076151817e-05
"36","Vibrio cholerae infection","05110",0.00378648543868442,5e-06,3.55596224766565e-07,1.91626854457538e-06,6.89856676047135e-05
"37","Wnt signaling pathway","04310",0.00434210325105891,5e-06,4.04802759412822e-07,2.08499976691561e-06,7.85317353260875e-05
"38","Endocrine and other factor-regulated calcium reabsorption","04961",0.004382909335593,5e-06,4.08402016199965e-07,2.08499976691561e-06,7.92299911427931e-05
"39","Progesterone-mediated oocyte maturation","04914",0.00474403361580822,5e-06,4.40173740028282e-07,2.18958219398684e-06,8.53937055654866e-05
"40","NF-kappa B signaling pathway","04064",0.00582329352997279,5e-06,5.3434430567775e-07,2.59156988253709e-06,0.000103662795301484
"41","FoxO signaling pathway","04068",0.00599117653846372,5e-06,5.48897818179947e-07,2.59722382260755e-06,0.00010648617672691
"42","Chagas disease (American trypanosomiasis)","05142",0.00922535186380007,5e-06,8.25294100858722e-07,3.81207275158552e-06,0.000160107055566592
"43","PI3K-Akt signaling pathway","04151",0.0097826089889371,5e-06,8.72277174924506e-07,3.93539004500824e-06,0.000169221771935354
"44","Aldosterone-regulated sodium reabsorption","04960",0.0103729857275523,5e-06,9.21879554702168e-07,4.0646507639141e-06,0.000178844633612221
"45","Estrogen signaling pathway","04915",0.0109560578237255,5e-06,9.70703184118581e-07,4.15081220873105e-06,0.000188316417719005
"46","HIF-1 signaling pathway","04066",0.0111177325552895,5e-06,9.84213204132104e-07,4.15081220873105e-06,0.000190937361601628
"47","Insulin resistance","04931",0.0113854657618906,5e-06,1.00656001304291e-06,4.15473707511328e-06,0.000195272642530324
"48","Non-alcoholic fatty liver disease (NAFLD)","04932",0.0117659670683163,5e-06,1.0382652148771e-06,4.19632191012826e-06,0.000201423451686157
"49","Hippo signaling pathway","04390",0.0135748227957981,5e-06,1.18817784392131e-06,4.61802123728158e-06,0.000230506501720734
"50","Focal adhesion","04510",0.000135994680749096,5e-04,1.19021165909319e-06,4.61802123728158e-06,0.000230901061864079
"51","TGF-beta signaling pathway","04350",0.0149869913098017,5e-06,1.30436621264393e-06,4.86628933178698e-06,0.000253047045252923
"52","Small cell lung cancer","05222",0.0149869913098017,5e-06,1.30436621264393e-06,4.86628933178698e-06,0.000253047045252923
"53","Endometrial cancer","05213",4.26048980235398e-05,0.002,1.4722675892264e-06,5.3890549492438e-06,0.000285619912309921
"54","ErbB signaling pathway","04012",0.0184185910406346,5e-06,1.5840418725766e-06,5.69081709777521e-06,0.000307304123279861
"55","Osteoclast differentiation","04380",0.0222012689462249,5e-06,1.88862625822096e-06,6.66169989263393e-06,0.000366393494094866
"56","Hedgehog signaling pathway","04340",0.0247807571038421,5e-06,2.09443991493448e-06,7.19604945710594e-06,0.000406321343497289
"57","Melanoma","05218",0.0250306295019063,5e-06,2.11430319100535e-06,7.19604945710594e-06,0.000410174819055038
"58","Amoebiasis","05146",0.0269584363807207,5e-06,2.26714136806894e-06,7.58319698974784e-06,0.000439825425405375
"59","Proximal tubule bicarbonate reclamation","04964",0.029366638218352,5e-06,2.45710201635727e-06,8.07928459615779e-06,0.000476677791173309
"60","Non-small cell lung cancer","05223",0.000157868722650136,0.001,2.63033004110676e-06,8.50473379957853e-06,0.000510284027974712
"61","AMPK signaling pathway","04152",0.0352331590908544,5e-06,2.91586810663975e-06,9.15114108990438e-06,0.000565678412688111
"62","mTOR signaling pathway","04150",1.47272312695832e-05,0.012,2.92459148234057e-06,9.15114108990438e-06,0.000567370747574071
"63","Cholinergic synapse","04725",0.036178662350001,5e-06,2.98932681196351e-06,9.20522859557017e-06,0.000579929401520921
"64","Ras signaling pathway","04014",0.037614026083476,5e-06,3.10060897267718e-06,9.39872094842771e-06,0.000601518140699373
"65","Herpes simplex infection","05168",0.0479001460963698,5e-06,3.89061976059746e-06,1.16120035931678e-05,0.000754780233555907
"66","Tuberculosis","05152",0.04957473859285,5e-06,4.01811845690691e-06,1.18108330399991e-05,0.00077951498063994
"67","Central carbon metabolism in cancer","05230",0.000532748136545498,5e-04,4.29884173903143e-06,1.2306963571259e-05,0.000833975297372096
"68","Fc epsilon RI signaling pathway","04664",0.0534722079375331,5e-06,4.31378104559594e-06,1.2306963571259e-05,0.000836873522845612
"69","Apelin signaling pathway","04371",0.0554367571879088,5e-06,4.46226675620482e-06,1.25460833435324e-05,0.000865679750703735
"70","Alzheimer's disease","05010",0.064400916211293,5e-06,5.13555448270311e-06,1.42328224234915e-05,0.000996297569644403
"71","Signaling pathways regulating pluripotency of stem cells","04550",0.0698393687528336,5e-06,5.54092633200051e-06,1.51399958930718e-05,0.0010749397084081
"72","NOD-like receptor signaling pathway","04621",0.0719125103754059,5e-06,5.69488749550994e-06,1.53445579740129e-05,0.00110480817412893
"73","Amyotrophic lateral sclerosis (ALS)","05014",0.0764188838267449,5e-06,6.02853217690274e-06,1.60210307167004e-05,0.00116953524231913
"74","cGMP-PKG signaling pathway","04022",0.0832483194397747,5e-06,6.53166313607085e-06,1.71235493026722e-05,0.00126714264839775
"75","Phosphatidylinositol signaling system","04070",0.0887031099845924,5e-06,6.93149739644316e-06,1.79294732654663e-05,0.00134471049490997
"76","VEGF signaling pathway","04370",0.0905575813339975,5e-06,7.06704211510121e-06,1.80395548727583e-05,0.00137100617032963
"77","ECM-receptor interaction","04512",0.0960397457241016,5e-06,7.46664162876487e-06,1.88120581296154e-05,0.00144852847598038
"78","Dilated cardiomyopathy","05414",0.105040738251832,5e-06,8.1193757856605e-06,2.01943449027966e-05,0.00157515890241814
"79","Th17 cell differentiation","04659",0.106980457743781,5e-06,8.25952345573213e-06,2.02828803849624e-05,0.00160234755041203
"80","Huntington's disease","05016",0.118756674721143,5e-06,9.10670791222071e-06,2.20837666871352e-05,0.00176670133497082
"81","Measles","05162",0.123481038088352,5e-06,9.4449042743501e-06,2.26211287558509e-05,0.00183231142922392
"82","Fluid shear stress and atherosclerosis","05418",0.128841101893051,5e-06,9.82751484056913e-06,2.32504619398831e-05,0.00190653787907041
"83","Dopaminergic synapse","04728",0.140203148016846,5e-06,1.06349243716352e-05,2.48575340734607e-05,0.00206317532809724
"84","Chronic myeloid leukemia","05220",0.000710894544363617,0.001,1.0774845012091e-05,2.48847610993531e-05,0.00209031993234566
"85","Gastric acid secretion","04971",0.168779756664296,5e-06,1.26460201281531e-05,2.8862681233667e-05,0.0024533279048617
"86","Leukocyte transendothelial migration","04670",0.173673949840482,5e-06,1.29879008764276e-05,2.92982880235692e-05,0.00251965277002695
"87","cAMP signaling pathway","04024",0.19668002578991,5e-06,1.45860363175903e-05,3.25251844323278e-05,0.00282969104561252
"88","Pancreatic secretion","04972",0.199441292782681,5e-06,1.47769125251055e-05,3.25763753394371e-05,0.00286672102987046
"89","Influenza A","05164",0.202642128609389,5e-06,1.49979354576497e-05,3.26921289751017e-05,0.00290959947878405
"90","Basal cell carcinoma","05217",0.252562933118759,5e-06,1.84145749331917e-05,3.94981481989034e-05,0.00357242753703918
