"","Names","ID","pl","pb","p","pFdr","pFWER"
"1","Pathways in cancer","05200",3.79181963323016e-12,5e-06,7.48964910944665e-16,1.45299192723265e-13,1.45299192723265e-13
"2","Cell cycle","04110",3.60597939234117e-08,5e-06,5.47102077820673e-12,3.8097404526687e-10,1.06137803097211e-09
"3","Non-alcoholic fatty liver disease (NAFLD)","04932",4.48811423401391e-08,5e-06,6.7602940472388e-12,3.8097404526687e-10,1.31149704516433e-09
"4","Alzheimer's disease","05010",5.2419894887085e-08,5e-06,7.85513495395608e-12,3.8097404526687e-10,1.52389618106748e-09
"5","Focal adhesion","04510",1.76823763972031e-07,5e-06,2.54221160460861e-11,9.86378102588141e-10,4.93189051294071e-09
"6","Adherens junction","04520",6.37203620433601e-07,5e-06,8.75270833307024e-11,2.83004236102604e-09,1.69802541661563e-08
"7","Prostate cancer","05215",1.09474969554765e-06,5e-06,1.47413834747625e-10,4.08546913443418e-09,2.85982839410392e-08
"8","Apoptosis","04210",2.40798171885045e-06,5e-06,3.14756853384053e-10,7.63285369456328e-09,6.10628295565063e-08
"9","Proteoglycans in cancer","05205",3.98224397474083e-06,5e-06,5.10518455452745e-10,1.10045089286481e-08,9.90405803578326e-08
"10","ErbB signaling pathway","04012",4.95529412376305e-06,5e-06,6.29845798246806e-10,1.2219008485988e-08,1.2219008485988e-07
"11","Huntington's disease","05016",9.75500234836053e-09,0.003,7.39076884264308e-10,1.24083926254369e-08,1.43380915547276e-07
"12","AGE-RAGE signaling pathway in diabetic complications","04933",6.08780852819762e-08,5e-04,7.67529440748671e-10,1.24083926254369e-08,1.48900711505242e-07
"13","Protein processing in endoplasmic reticulum","04141",5.34929519417889e-08,0.002,2.56320295183714e-09,3.82508748197235e-08,4.97261372656405e-07
"14","Insulin resistance","04931",2.36496336647206e-05,5e-06,2.8211926565954e-09,3.90936696699649e-08,5.47311375379508e-07
"15","Sphingolipid signaling pathway","04071",3.48829417890962e-05,5e-06,4.09344088354164e-09,5.29418354271386e-08,7.94127531407079e-07
"16","Renal cell carcinoma","05211",4.66280949395899e-05,5e-06,5.40405164435827e-09,6.55241261878441e-08,1.04838601900551e-06
"17","AMPK signaling pathway","04152",6.25202392305663e-05,5e-06,7.15422000689065e-09,8.16422753727522e-08,1.38791868133679e-06
"18","Longevity regulating pathway","04211",7.56983589625652e-05,5e-06,8.5898056987698e-09,9.25790169756301e-08,1.66642230556134e-06
"19","Non-small cell lung cancer","05223",9.88033685111809e-05,5e-06,1.10800327959574e-08,1.13132966442933e-07,2.14952636241574e-06
"20","HTLV-I infection","05166",0.000107065110505637,5e-06,1.19635336293601e-08,1.16046276204793e-07,2.32092552409586e-06
"21","Osteoclast differentiation","04380",0.000148038134871839,5e-06,1.63020432718918e-08,1.50599828321286e-07,3.162596394747e-06
"22","Pancreatic cancer","05212",0.000198076188424331,5e-06,2.15238811312417e-08,1.89801497248222e-07,4.17563293946089e-06
"23","Hippo signaling pathway","04390",0.00022207729721237,5e-06,2.40049543144346e-08,2.02286877665226e-07,4.65696113700031e-06
"24","PI3K-Akt signaling pathway","04151",0.000240085093389119,5e-06,2.58578725535885e-08,2.02286877665226e-07,5.01642727539617e-06
"25","Neurotrophin signaling pathway","04722",0.000242130482500496,5e-06,2.60678966063435e-08,2.02286877665226e-07,5.05717194163064e-06
"26","FoxO signaling pathway","04068",0.000319013609875372,5e-06,3.390532383404e-08,2.52985877838606e-07,6.57763282380377e-06
"27","Hedgehog signaling pathway","04340",0.000379618479311699,5e-06,4.00163743779837e-08,2.87525060345513e-07,7.76317662932884e-06
"28","Rap1 signaling pathway","04015",0.000418192844677722,5e-06,4.38802235457129e-08,3.04027263138154e-07,8.5127633678683e-06
"29","Fc gamma R-mediated phagocytosis","04666",0.000458800261721079,5e-06,4.79284965010867e-08,3.20625114524511e-07,9.29812832121083e-06
"30","Leukocyte transendothelial migration","04670",0.000533934444680882,5e-06,5.5372499543999e-08,3.58075497051193e-07,1.07422649115358e-05
