"","Names","ID","pl","pb","p","pFdr","pFWER"
"1","Focal adhesion","04510",6.35542329047809e-07,5e-06,8.73071818951706e-11,1.69375932876631e-08,1.69375932876631e-08
"2","Cell cycle","04110",1.53973569284372e-06,5e-06,2.04707648109639e-10,1.9856641866635e-08,3.971328373327e-08
"3","Pathways in cancer","05200",2.64772274874572e-06,5e-06,3.44837865493461e-10,2.22995153019105e-08,6.68985459057315e-08
"4","Endocytosis","04144",3.68988325409009e-06,5e-06,4.74444974509873e-10,2.30105812637289e-08,9.20423250549154e-08
"5","Platelet activation","04611",5.85114144029834e-06,5e-06,7.38851318534072e-10,2.64440883708572e-08,1.4333715579561e-07
"6","Sphingolipid signaling pathway","04071",6.50406236564625e-06,5e-06,8.17858403222388e-10,2.64440883708572e-08,1.58664530225143e-07
"7","Proteoglycans in cancer","05205",1.68544733412404e-05,5e-06,2.03913568477552e-09,5.65131889780645e-08,3.95592322846452e-07
"8","Osteoclast differentiation","04380",2.41713821723042e-05,5e-06,2.88079534090213e-09,6.98592870168766e-08,5.58874296135012e-07
"9","TNF signaling pathway","04668",6.48656717545385e-05,5e-06,7.410664506448e-09,1.33281026001783e-07,1.43766891425091e-06
"10","Bacterial invasion of epithelial cells","05100",6.56569480191727e-05,5e-06,7.49708449526861e-09,1.33281026001783e-07,1.45443439208211e-06
"11","Apoptosis","04210",6.62073734567494e-05,5e-06,7.55717157742068e-09,1.33281026001783e-07,1.46609128601961e-06
"12","HTLV-I infection","05166",9.19269261549654e-05,5e-06,1.03420500197195e-08,1.67196475318799e-07,2.00635770382558e-06
"13","Non-small cell lung cancer","05223",0.000161918698754877,5e-06,1.77580194652818e-08,2.39976802461154e-07,3.44505577626467e-06
"14","Protein processing in endoplasmic reticulum","04141",0.000166248655250281,5e-06,1.8210959667269e-08,2.39976802461154e-07,3.53292617545018e-06
"15","ErbB signaling pathway","04012",0.000169540294658404,5e-06,1.85549074067902e-08,2.39976802461154e-07,3.59965203691731e-06
"16","Small cell lung cancer","05222",0.000269555720228623,5e-06,2.88758978643895e-08,3.38675701239572e-07,5.60192418569156e-06
"17","Axon guidance","04360",0.000277413193263916,5e-06,2.96777676343955e-08,3.38675701239572e-07,5.75748692107273e-06
"18","Central carbon metabolism in cancer","05230",0.000324323020415971,5e-06,3.4442850511513e-08,3.71217388846307e-07,6.68191299923352e-06
"19","Pancreatic cancer","05212",0.000417128539500028,5e-06,4.37738626648321e-08,4.46954176683022e-07,8.49212935697742e-06
"20","AGE-RAGE signaling pathway in diabetic complications","04933",0.000453403047338493,5e-06,4.73915040745034e-08,4.59697589522683e-07,9.19395179045365e-06
"21","RNA degradation","03018",0.000485221689484216,5e-06,5.05527667075627e-08,4.67011273393675e-07,9.80723674126717e-06
"22","Epstein-Barr virus infection","05169",0.000954222791132128,5e-06,9.61889304525731e-08,8.48211477627235e-07,1.86606525077992e-05
"23","p53 signaling pathway","04115",0.00110308602365799,5e-06,1.10395283950194e-07,8.99751565560639e-07,2.14166850863375e-05
"24","Insulin resistance","04931",0.00111270330110344,5e-06,1.1130947202812e-07,8.99751565560639e-07,2.15940375734553e-05
"25","Glioma","05214",0.00125845293625672,5e-06,1.25115043503526e-07,9.70892737587359e-07,2.4272318439684e-05
"26","Adherens junction","04520",0.00149924661955184,5e-06,1.47742247603088e-07,1.10238446288458e-06,2.8661996034999e-05
"27","Chronic myeloid leukemia","05220",0.00186691365779594,5e-06,1.81926454255899e-07,1.30717526391275e-06,3.52937321256443e-05
"28","Prostate cancer","05215",0.00221904757233848,5e-06,2.143239342135e-07,1.41556107938412e-06,4.15788432374191e-05
"29","Notch signaling pathway","04330",0.00226319123531957,5e-06,2.18364595405581e-07,1.41556107938412e-06,4.23627315086827e-05
"30","Neurotrophin signaling pathway","04722",0.00232723394639493,5e-06,2.24219071012424e-07,1.41556107938412e-06,4.34984997764102e-05
"31","T cell receptor signaling pathway","04660",0.00234890256833225,5e-06,2.26197904437668e-07,1.41556107938412e-06,4.38823934609076e-05
"32","Shigellosis","05131",0.0027097260208753,5e-06,2.5900889607146e-07,1.52265835872313e-06,5.02477258378632e-05
"33","Renal cell carcinoma","05211",0.0027097260208753,5e-06,2.5900889607146e-07,1.52265835872313e-06,5.02477258378632e-05
"34","Fc epsilon RI signaling pathway","04664",0.0035560059111445,5e-06,3.35068034197489e-07,1.90340169396064e-06,6.50031986343129e-05
"35","Acute myeloid leukemia","05221",0.00364942336306703,5e-06,3.4339721282795e-07,1.90340169396064e-06,6.66190592886222e-05
"36","VEGF signaling pathway","04370",0.00394284182946196,5e-06,3.69482252628306e-07,1.96045756274609e-06,7.16795570098913e-05
"37","Signaling pathways regulating pluripotency of stem cells","04550",0.00399267876003893,5e-06,3.73901700111367e-07,1.96045756274609e-06,7.25369298216052e-05
"38","Rap1 signaling pathway","04015",0.00412009576153429,5e-06,3.85186754000228e-07,1.96647974410643e-06,7.47262302760443e-05
"39","Insulin signaling pathway","04910",0.0046506922782665,5e-06,4.31975176871016e-07,2.14879959776864e-06,8.38031843129771e-05
"40","Fc gamma R-mediated phagocytosis","04666",0.00484918767721573,5e-06,4.49398873446544e-07,2.17958453621574e-06,8.71833814486296e-05
"41","Regulation of actin cytoskeleton","04810",0.00508578845481944,5e-06,4.70114464198011e-07,2.22444405010766e-06,9.12022060544142e-05
"42","MAPK signaling pathway","04010",0.00550461225575682,5e-06,5.06651161364119e-07,2.30827840989477e-06,9.82903253046391e-05
"43","Prolactin signaling pathway","04917",0.00556181549859653,5e-06,5.11628719718944e-07,2.30827840989477e-06,9.92559716254751e-05
